Trajectories;;;;;;;;;;;;;;;;;;;;;;
120;;;;;;;;;;;;;;;;;;;;;;
;;1 0;;;1 1;;;1 2;;;1 3;;;1 4;;;1 5;;;1 6;;
Frame;Sub Frame;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
;;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm
1;0;-346.526428;-2087.343506;61.045261;655.755615;-2118.14502;55.059986;155.798843;-2587.741211;60.602467;632.930298;-3061.100098;54.658142;-354.347443;-3033.681396;59.786625;;;;;;
2;0;-346.552368;-2087.367676;61.040821;655.593262;-2118.23999;55.344212;155.78862;-2587.730225;60.598759;632.914307;-3061.118408;54.652088;-354.321747;-3033.686035;59.762836;;;;;;
3;0;-346.561218;-2087.341309;61.02356;655.606445;-2118.233643;55.313911;155.782043;-2587.758545;60.581112;632.893677;-3061.125244;54.654621;-354.372711;-3033.68335;59.77153;;;;;;
4;0;-346.568756;-2087.340576;60.982082;655.664856;-2118.179199;55.143517;155.747787;-2587.752686;60.565536;632.890686;-3061.150391;54.627945;-354.355286;-3033.693848;59.754242;;;;;;
5;0;-346.536011;-2087.380127;61.000881;655.717285;-2118.179932;55.071949;155.791031;-2587.731934;60.602615;632.889893;-3061.144043;54.634079;-354.349945;-3033.684326;59.774235;;;;;;
6;0;-346.55072;-2087.370117;60.983734;655.724121;-2118.150146;55.033489;155.778992;-2587.744629;60.589603;632.922302;-3061.10791;54.661903;-354.349884;-3033.679932;59.75565;;;;;;
7;0;-346.546387;-2087.349365;60.994709;655.737366;-2118.168701;55.211464;155.801926;-2587.738281;60.607307;632.923767;-3061.108643;54.658463;-354.340851;-3033.695312;59.734123;;;;;;
8;0;-346.563263;-2087.357422;61.032005;655.756775;-2118.130371;55.046722;155.792282;-2587.735596;60.579224;632.934937;-3061.137207;54.63401;-354.332977;-3033.684082;59.76025;;;;;;
9;0;-346.524139;-2087.340576;61.040386;655.703613;-2118.195801;55.245911;155.795868;-2587.749268;60.551838;632.935913;-3061.107666;54.648949;-354.310852;-3033.678467;59.743992;;;;;;
10;0;-346.536835;-2087.335938;61.010296;655.753479;-2118.130127;55.017086;155.808502;-2587.726807;60.57399;632.927307;-3061.141113;54.597256;-354.341461;-3033.664062;59.762959;;;;;;
11;0;-346.562744;-2087.348877;61.020283;655.795471;-2118.130371;55.043991;155.788651;-2587.755371;60.600254;632.93158;-3061.120117;54.649292;-354.363129;-3033.683594;59.787842;;;;;;
12;0;-346.559326;-2087.373047;61.052185;655.676453;-2118.216553;55.240456;155.782471;-2587.75293;60.580418;632.909302;-3061.123779;54.64616;-354.386017;-3033.665527;59.783001;;;;;;
13;0;-346.566071;-2087.381836;61.020874;655.78833;-2118.119385;55.000004;155.759247;-2587.748535;60.581821;632.899597;-3061.125488;54.622345;-354.373077;-3033.67627;59.770275;;;;;;
14;0;-346.552521;-2087.357178;60.994747;655.734253;-2118.145752;55.021717;155.751511;-2587.757812;60.566971;632.925415;-3061.102051;54.668568;-354.385345;-3033.670898;59.764259;;;;;;
15;0;-346.548615;-2087.387939;60.98637;655.698364;-2118.1875;55.24987;155.780121;-2587.731934;60.590122;632.945129;-3061.117188;54.668804;-354.349945;-3033.654785;59.778141;;;;;;
16;0;-346.556335;-2087.414795;61.059689;655.738098;-2118.154541;55.066986;155.803345;-2587.750488;60.57523;632.907837;-3061.101074;54.663212;-354.368927;-3033.682129;59.777279;;;;;;
17;0;-346.565948;-2087.340576;60.994751;655.712097;-2118.180176;55.201305;155.815857;-2587.745361;60.574276;632.895264;-3061.135254;54.63998;-354.322968;-3033.657227;59.739155;;;;;;
18;0;-346.557495;-2087.327637;61.033134;655.696289;-2118.203125;55.206844;155.786621;-2587.74585;60.572449;632.924988;-3061.134033;54.61739;-354.32843;-3033.662354;59.760002;;;;;;
19;0;-346.567535;-2087.364502;61.046299;655.775269;-2118.133301;55.085285;155.788864;-2587.753418;60.602474;632.874939;-3061.123047;54.62072;-354.357422;-3033.671387;59.774906;;;;;;
20;0;-346.56073;-2087.380371;61.077522;655.705017;-2118.156006;55.028385;155.782242;-2587.729004;60.580402;632.922302;-3061.143799;54.62582;-354.31897;-3033.67041;59.704361;;;;;;
21;0;-346.570374;-2087.342529;61.040031;655.686218;-2118.19165;55.180977;155.762772;-2587.723145;60.578686;632.905762;-3061.110596;54.65414;-354.402771;-3033.683594;59.764008;;;;;;
22;0;-346.554504;-2087.34082;60.980808;655.754517;-2118.137695;55.003345;155.741577;-2587.742676;60.57893;632.912292;-3061.115723;54.653664;-354.354584;-3033.67627;59.764797;;;;;;
23;0;-346.544952;-2087.328125;60.942577;655.772827;-2118.119141;55.046341;155.77269;-2587.762695;60.576195;632.896912;-3061.111084;54.656456;-354.374207;-3033.684326;59.750999;;;;;;
24;0;-346.565277;-2087.319824;60.951256;655.80188;-2118.124512;55.041607;155.804626;-2587.740723;60.576637;632.926392;-3061.110596;54.637508;-354.404968;-3033.69458;59.763527;;;;;;
25;0;-346.546783;-2087.396729;61.042915;655.691223;-2118.206055;55.235649;155.79953;-2587.731934;60.612247;632.945374;-3061.138672;54.652298;-354.368713;-3033.669922;59.746315;;;;;;
26;0;-346.544952;-2087.352051;60.968201;655.761841;-2118.135986;55.01685;155.809723;-2587.728516;60.595913;632.943481;-3061.119141;54.66449;-354.334991;-3033.66748;59.752842;;;;;;
27;0;-346.555878;-2087.36792;61.001938;655.789246;-2118.14917;55.006229;155.802917;-2587.756592;60.595909;632.89978;-3061.134033;54.615967;-354.34491;-3033.687256;59.742657;;;;;;
28;0;-346.574646;-2087.362305;61.086361;655.770508;-2118.123535;55.019615;155.777832;-2587.742432;60.588581;632.892944;-3061.118408;54.678596;-354.377869;-3033.700439;59.757576;;;;;;
29;0;-346.54657;-2087.337402;61.051521;655.702881;-2118.200684;55.214741;155.783875;-2587.73877;60.585747;632.934814;-3061.101318;54.665821;-354.351257;-3033.683594;59.765018;;;;;;
30;0;-346.558472;-2087.337646;60.992218;655.695312;-2118.231934;55.216408;155.810928;-2587.74585;60.561401;632.943115;-3061.119629;54.671234;-354.353668;-3033.682861;59.714355;;;;;;
31;0;-346.53656;-2087.372314;61.087524;655.743042;-2118.171387;55.062073;155.781799;-2587.762695;60.575428;632.92334;-3061.101807;54.648758;-354.359833;-3033.690674;59.766621;;;;;;
32;0;-346.569519;-2087.38623;61.108662;655.720642;-2118.16626;55.024559;155.737579;-2587.751953;60.603432;632.923706;-3061.130127;54.659561;-354.384308;-3033.677734;59.764683;;;;;;
33;0;-346.538849;-2087.396484;61.04734;655.723755;-2118.178955;55.043674;155.769867;-2587.749023;60.573944;632.912842;-3061.141113;54.63464;-354.373291;-3033.716553;59.777775;;;;;;
34;0;-346.519867;-2087.364014;60.958958;655.735046;-2118.186768;55.133038;155.782898;-2587.757324;60.57843;632.921204;-3061.156738;54.611397;-354.344666;-3033.681641;59.736012;;;;;;
35;0;-346.5401;-2087.378906;61.041504;655.817566;-2118.151367;55.036995;155.797958;-2587.740967;60.572887;632.943054;-3061.1521;54.641285;-354.31424;-3033.683594;59.737293;;;;;;
36;0;-346.549377;-2087.37207;61.021973;655.796875;-2118.151367;55.08461;155.816742;-2587.763184;60.57983;632.93811;-3061.120117;54.658207;-354.327362;-3033.678223;59.720531;;;;;;
37;0;-346.562317;-2087.369385;61.06184;655.778748;-2118.165527;55.028774;155.798401;-2587.756836;60.579536;632.929321;-3061.119873;54.652546;-354.360229;-3033.689209;59.725197;;;;;;
38;0;-346.546265;-2087.371338;61.032799;655.73999;-2118.189941;55.123093;155.785339;-2587.750488;60.573441;632.909424;-3061.156006;54.620754;-354.347992;-3033.67749;59.740108;;;;;;
39;0;-346.555908;-2087.365234;61.059422;655.670471;-2118.205811;55.178776;155.781021;-2587.739746;60.583794;632.922119;-3061.128662;54.648567;-354.366119;-3033.671143;59.777657;;;;;;
40;0;-346.54071;-2087.362305;61.027439;655.673157;-2118.205078;55.219341;155.767471;-2587.732422;60.573128;632.881042;-3061.166992;54.644848;-354.389374;-3033.67334;59.761757;;;;;;
41;0;-346.55069;-2087.366455;61.012783;655.738892;-2118.159668;55.03574;155.812988;-2587.758789;60.596813;632.903564;-3061.181641;54.615139;-354.342926;-3033.653564;59.784882;;;;;;
42;0;-346.536957;-2087.378662;61.046661;655.776428;-2118.146729;54.99128;155.804245;-2587.759277;60.57785;632.938599;-3061.155029;54.61779;-354.337738;-3033.691162;59.767784;;;;;;
43;0;-346.546661;-2087.370361;61.051933;655.774292;-2118.148193;55.025249;155.826004;-2587.764893;60.604031;632.891968;-3061.154541;54.639645;-354.346161;-3033.689697;59.741196;;;;;;
44;0;-346.558075;-2087.359131;61.03577;655.774841;-2118.152344;55.032787;155.798035;-2587.777344;60.561481;632.928101;-3061.135254;54.632221;-354.335236;-3033.681396;59.755215;;;;;;
45;0;-346.539032;-2087.37915;61.016151;655.725708;-2118.149902;55.005951;155.795944;-2587.749268;60.560944;632.932007;-3061.16333;54.578587;-354.334961;-3033.692383;59.736668;;;;;;
46;0;-346.527557;-2087.372559;61.031269;655.784363;-2118.133057;55.058807;155.801208;-2587.766602;60.591213;632.908813;-3061.13501;54.619637;-354.373138;-3033.693115;59.790585;;;;;;
47;0;-346.562225;-2087.397217;61.042225;655.738525;-2118.170166;55.033058;155.784378;-2587.752197;60.620235;632.925842;-3061.11084;54.677258;-354.331879;-3033.676025;59.791317;;;;;;
48;0;-346.540405;-2087.36084;61.023411;655.803711;-2118.138916;55.064041;155.77597;-2587.739014;60.622524;632.936951;-3061.099609;54.690624;-354.373138;-3033.657959;59.762173;;;;;;
49;0;-346.574677;-2087.346191;61.023777;655.744385;-2118.163086;55.060596;155.781052;-2587.743164;60.600903;632.880493;-3061.137207;54.600899;-354.369476;-3033.666016;59.750103;;;;;;
50;0;-346.553558;-2087.361084;61.034538;655.756897;-2118.150635;55.042137;155.815384;-2587.747314;60.590561;632.882446;-3061.131592;54.610092;-354.366028;-3033.671387;59.756023;;;;;;
51;0;-346.55014;-2087.345459;61.000126;655.795471;-2118.148926;55.056763;155.81749;-2587.745117;60.599609;632.910339;-3061.15332;54.626896;-354.345032;-3033.682617;59.718121;;;;;;
